yeast.txt  10.0 100.0 0.001 100.0

Run 1
-------
Iteration 1: SSE = 157.30115166042216
Iteration 2: SSE = 127.6768775643314
Iteration 3: SSE = 124.47266920829735
Iteration 4: SSE = 121.23464503330779
Iteration 5: SSE = 117.62441181733568
Iteration 6: SSE = 115.90436890281177
Iteration 7: SSE = 114.38592639257456
Iteration 8: SSE = 111.55982130920218
Iteration 9: SSE = 107.22104836980958
Iteration 10: SSE = 103.18471519404387
Iteration 11: SSE = 100.97922303920694
Iteration 12: SSE = 99.70190478178448
Iteration 13: SSE = 99.02502399783558
Iteration 14: SSE = 97.96869542533516
Iteration 15: SSE = 97.36438986699778
Iteration 16: SSE = 96.9155048804556
Iteration 17: SSE = 96.63240788517481
Iteration 18: SSE = 96.37809827122611
Iteration 19: SSE = 96.09568533136088
Iteration 20: SSE = 95.76243263497872
Iteration 21: SSE = 95.16922169228107
Iteration 22: SSE = 94.32441265142154
Iteration 23: SSE = 93.73508548127528
Iteration 24: SSE = 93.35038175012173
Iteration 25: SSE = 92.67516375430225
Iteration 26: SSE = 92.42557682807644
Iteration 27: SSE = 92.29737526174353
Iteration 28: SSE = 92.11491361023246
Iteration 29: SSE = 91.95087673118573
Iteration 30: SSE = 91.76166803550885
Iteration 31: SSE = 91.28046847390195
Iteration 32: SSE = 90.49411464896566
Iteration 33: SSE = 89.9929003927164
Iteration 34: SSE = 89.64402462544602
Iteration 35: SSE = 89.43194110379238
Iteration 36: SSE = 89.25551548080671
Iteration 37: SSE = 89.074555862186
Iteration 38: SSE = 88.87082138363226
Iteration 39: SSE = 88.3473509057073
Iteration 40: SSE = 87.68782759174609
Iteration 41: SSE = 87.19483942977187
Iteration 42: SSE = 86.92404373983443
Iteration 43: SSE = 86.27709863071439
Iteration 44: SSE = 85.97740010411721
Iteration 45: SSE = 85.74817974727276
Iteration 46: SSE = 85.44977123897708
Iteration 47: SSE = 85.09262943611564
Iteration 48: SSE = 84.8784320550876
Iteration 49: SSE = 84.75349685285315
Iteration 50: SSE = 84.66662759292365
Iteration 51: SSE = 84.63742379035011

Run 2
-------
Iteration 1: SSE = 158.4516391937813
Iteration 2: SSE = 130.06111812168973
Iteration 3: SSE = 125.4617382728792
Iteration 4: SSE = 121.30572495235461
Iteration 5: SSE = 117.80174437777372
Iteration 6: SSE = 116.18807500257523
Iteration 7: SSE = 114.73434331824568
Iteration 8: SSE = 111.40994583952128
Iteration 9: SSE = 105.51349005578784
Iteration 10: SSE = 102.32577724468085
Iteration 11: SSE = 100.95284670567989
Iteration 12: SSE = 99.80151907153954
Iteration 13: SSE = 99.08680625346597
Iteration 14: SSE = 98.01260335321824
Iteration 15: SSE = 97.40465885425594
Iteration 16: SSE = 96.97037678649798
Iteration 17: SSE = 96.71053511921345
Iteration 18: SSE = 96.44756105814037
Iteration 19: SSE = 96.14580340492431
Iteration 20: SSE = 95.80648840252513
Iteration 21: SSE = 95.2029506024516
Iteration 22: SSE = 94.29505612435665
Iteration 23: SSE = 93.73382156403224
Iteration 24: SSE = 93.32665447483828
Iteration 25: SSE = 92.66208546864644
Iteration 26: SSE = 92.40954955148119
Iteration 27: SSE = 92.29246610538108
Iteration 28: SSE = 92.1298293023553
Iteration 29: SSE = 91.96144806741496
Iteration 30: SSE = 91.77742325218166
Iteration 31: SSE = 91.41543478074198
Iteration 32: SSE = 90.66051276370179
Iteration 33: SSE = 90.06815765055818
Iteration 34: SSE = 89.7233739642853
Iteration 35: SSE = 89.47867331919826
Iteration 36: SSE = 89.32091061771254
Iteration 37: SSE = 89.15446829530546
Iteration 38: SSE = 88.97378875585312
Iteration 39: SSE = 88.56211271323971
Iteration 40: SSE = 88.13456224570515
Iteration 41: SSE = 87.50141809055229
Iteration 42: SSE = 86.99267948051525
Iteration 43: SSE = 86.28413704902489
Iteration 44: SSE = 85.94349869247715
Iteration 45: SSE = 85.71579682622682
Iteration 46: SSE = 85.42566198516363
Iteration 47: SSE = 85.140544791506
Iteration 48: SSE = 84.90799801165366
Iteration 49: SSE = 84.75587981985959
Iteration 50: SSE = 84.67892843623815

Run 3
-------
Iteration 1: SSE = 178.6244642583906
Iteration 2: SSE = 136.89767055776633
Iteration 3: SSE = 133.19766097187446
Iteration 4: SSE = 129.71720649991198
Iteration 5: SSE = 124.7507458062084
Iteration 6: SSE = 121.41419848262048
Iteration 7: SSE = 119.1356447607463
Iteration 8: SSE = 113.45902921192976
Iteration 9: SSE = 106.83028297606822
Iteration 10: SSE = 104.20441779089633
Iteration 11: SSE = 103.03000371054708
Iteration 12: SSE = 101.77804842989875
Iteration 13: SSE = 100.52232555972482
Iteration 14: SSE = 99.17163760330044
Iteration 15: SSE = 98.26189424459862
Iteration 16: SSE = 97.67225369665823
Iteration 17: SSE = 97.03155256909176
Iteration 18: SSE = 96.62127344382341
Iteration 19: SSE = 96.30445997808397
Iteration 20: SSE = 95.93329535829454
Iteration 21: SSE = 95.48125216855337
Iteration 22: SSE = 94.54214924575594
Iteration 23: SSE = 93.89292453339935
