letter_recognition.txt  26.0 100.0 0.001 100.0

Run 1
-------
Iteration 1: SSE = 2.3275340504283896E-4
Iteration 2: SSE = 1.3885586858397632E-4
Iteration 3: SSE = 1.3163719310703529E-4
Iteration 4: SSE = 1.2287614191648592E-4
Iteration 5: SSE = 1.1185592651196072E-4
Iteration 6: SSE = 1.0824063216170447E-4
Iteration 7: SSE = 1.059830772011051E-4
Iteration 8: SSE = 1.0202037034639724E-4
Iteration 9: SSE = 9.838894814089638E-5
Iteration 10: SSE = 9.591440494271059E-5
Iteration 11: SSE = 9.400128657647969E-5
Iteration 12: SSE = 9.158713078479843E-5
Iteration 13: SSE = 8.874285605974356E-5
Iteration 14: SSE = 8.606886203132182E-5
Iteration 15: SSE = 8.347256577403018E-5
Iteration 16: SSE = 8.157841006958771E-5
Iteration 17: SSE = 8.018461699666149E-5
Iteration 18: SSE = 7.901748979149837E-5
Iteration 19: SSE = 7.80477938290363E-5
Iteration 20: SSE = 7.698199475556335E-5
Iteration 21: SSE = 7.549673461368225E-5
Iteration 22: SSE = 7.331971830612887E-5
Iteration 23: SSE = 7.187938990411623E-5
Iteration 24: SSE = 7.099767849955222E-5
Iteration 25: SSE = 7.027345842002524E-5
Iteration 26: SSE = 6.949951161424295E-5
Iteration 27: SSE = 6.881830602556632E-5
Iteration 28: SSE = 6.844280970029937E-5
Iteration 29: SSE = 6.824299224351256E-5
Iteration 30: SSE = 6.810507698406772E-5
Iteration 31: SSE = 6.799098682826388E-5
Iteration 32: SSE = 6.790984933289276E-5
Iteration 33: SSE = 6.782384336972156E-5
Iteration 34: SSE = 6.77246498938773E-5
Iteration 35: SSE = 6.759954567833034E-5
Iteration 36: SSE = 6.743627626738855E-5
Iteration 37: SSE = 6.72558085589485E-5
Iteration 38: SSE = 6.710782451395661E-5
Iteration 39: SSE = 6.698618074611913E-5
Iteration 40: SSE = 6.689485745389699E-5
Iteration 41: SSE = 6.681769002327896E-5
Iteration 42: SSE = 6.674033742863159E-5
Iteration 43: SSE = 6.666125536567411E-5
Iteration 44: SSE = 6.661683291087775E-5

Run 2
-------
Iteration 1: SSE = 1.9957646745914637E-4
Iteration 2: SSE = 1.2921555919609626E-4
Iteration 3: SSE = 1.2437438487719604E-4
Iteration 4: SSE = 1.199578906505697E-4
Iteration 5: SSE = 1.1595456628939013E-4
Iteration 6: SSE = 1.1046941227431133E-4
Iteration 7: SSE = 1.0424024384496145E-4
Iteration 8: SSE = 1.0202857052559972E-4
Iteration 9: SSE = 1.0023931515422929E-4
Iteration 10: SSE = 9.81092066182028E-5
Iteration 11: SSE = 9.5351890878017E-5
Iteration 12: SSE = 9.303508055849356E-5
Iteration 13: SSE = 9.073401982514832E-5
Iteration 14: SSE = 8.802389869769507E-5
Iteration 15: SSE = 8.554895676017174E-5
Iteration 16: SSE = 8.395859263618336E-5
Iteration 17: SSE = 8.232746366976006E-5
Iteration 18: SSE = 7.976503221586536E-5
Iteration 19: SSE = 7.765447316726067E-5
Iteration 20: SSE = 7.613766591993079E-5
Iteration 21: SSE = 7.456121956797298E-5
Iteration 22: SSE = 7.329400252945434E-5
Iteration 23: SSE = 7.212690845948473E-5
Iteration 24: SSE = 7.08869904082359E-5
Iteration 25: SSE = 6.96452474580358E-5
Iteration 26: SSE = 6.873730488948943E-5
Iteration 27: SSE = 6.807749593634617E-5
Iteration 28: SSE = 6.763288840171506E-5
Iteration 29: SSE = 6.729650715167083E-5
Iteration 30: SSE = 6.699748951165943E-5
Iteration 31: SSE = 6.675469420329139E-5
Iteration 32: SSE = 6.654289168043515E-5
Iteration 33: SSE = 6.638921792519848E-5
Iteration 34: SSE = 6.630222656680643E-5
Iteration 35: SSE = 6.624207043342173E-5

Run 3
-------
Iteration 1: SSE = 2.1861907599154536E-4
Iteration 2: SSE = 1.2945631641410048E-4
Iteration 3: SSE = 1.2177730325438597E-4
Iteration 4: SSE = 1.1680264107003774E-4
Iteration 5: SSE = 1.1410985108363334E-4
Iteration 6: SSE = 1.0984440051759254E-4
Iteration 7: SSE = 1.0576652643812844E-4
Iteration 8: SSE = 1.0291876050511574E-4
Iteration 9: SSE = 1.0095526676498282E-4
Iteration 10: SSE = 9.848260649909479E-5
Iteration 11: SSE = 9.597558172318526E-5
Iteration 12: SSE = 9.315066182267125E-5
Iteration 13: SSE = 9.053763478208722E-5
Iteration 14: SSE = 8.845483194929418E-5
Iteration 15: SSE = 8.592849295396009E-5
Iteration 16: SSE = 8.282163633119524E-5
Iteration 17: SSE = 7.969427184032704E-5
Iteration 18: SSE = 7.719044488413791E-5
Iteration 19: SSE = 7.543469924908399E-5
Iteration 20: SSE = 7.425183311042222E-5
Iteration 21: SSE = 7.330552840676903E-5
Iteration 22: SSE = 7.24907199515385E-5
Iteration 23: SSE = 7.161911897415942E-5
Iteration 24: SSE = 7.068091238540165E-5
Iteration 25: SSE = 6.976569933638858E-5
Iteration 26: SSE = 6.911994746521146E-5
Iteration 27: SSE = 6.855839264269707E-5
Iteration 28: SSE = 6.805297298328761E-5
