letter_recognition.txt  26.0 100.0 0.001 100.0

Run 1
-------
Iteration 1: SSE = 7204.103723704026
Iteration 2: SSE = 3675.960055976717
Iteration 3: SSE = 3268.817643864951
Iteration 4: SSE = 3113.3944345518275
Iteration 5: SSE = 3016.229138416004
Iteration 6: SSE = 2959.3296425772237
Iteration 7: SSE = 2925.408278834684
Iteration 8: SSE = 2897.839476229778
Iteration 9: SSE = 2876.5919087762154
Iteration 10: SSE = 2852.6367921197784
Iteration 11: SSE = 2830.5637359862403
Iteration 12: SSE = 2818.6556165670654
Iteration 13: SSE = 2809.9212315296336
Iteration 14: SSE = 2803.774569039733
Iteration 15: SSE = 2798.8387452706984
Iteration 16: SSE = 2795.310424319906
Iteration 17: SSE = 2792.8291205897062

Run 2
-------
Iteration 1: SSE = 7173.125242911127
Iteration 2: SSE = 3776.4864702106647
Iteration 3: SSE = 3333.4972052345875
Iteration 4: SSE = 3164.57368439823
Iteration 5: SSE = 3058.7403012166596
Iteration 6: SSE = 2965.9212230089474
Iteration 7: SSE = 2922.0532475860336
Iteration 8: SSE = 2899.740403077614
Iteration 9: SSE = 2884.988439085587
Iteration 10: SSE = 2873.6972404584685
Iteration 11: SSE = 2862.1565134219477
Iteration 12: SSE = 2849.4948151866297
Iteration 13: SSE = 2835.594206503855
Iteration 14: SSE = 2820.1784482917087
Iteration 15: SSE = 2810.0076371492996
Iteration 16: SSE = 2801.864887449915
Iteration 17: SSE = 2795.5354310555344
Iteration 18: SSE = 2790.9012713777593
Iteration 19: SSE = 2786.8425745583017
Iteration 20: SSE = 2782.1089045409667
Iteration 21: SSE = 2776.9891528594217
Iteration 22: SSE = 2774.1642487310555
Iteration 23: SSE = 2772.448979717772

Run 3
-------
Iteration 1: SSE = 7233.400190765857
Iteration 2: SSE = 3674.779113852501
Iteration 3: SSE = 3343.2202060393656
Iteration 4: SSE = 3192.084698784352
Iteration 5: SSE = 3066.857536904886
Iteration 6: SSE = 2995.5793477121842
Iteration 7: SSE = 2953.5951036075603
Iteration 8: SSE = 2922.0413930800514
Iteration 9: SSE = 2904.3053227407904
Iteration 10: SSE = 2892.521152943382
Iteration 11: SSE = 2881.45975825275
Iteration 12: SSE = 2869.5717014398847
Iteration 13: SSE = 2858.2114702036756
Iteration 14: SSE = 2850.039440924838
Iteration 15: SSE = 2845.5388599410016
Iteration 16: SSE = 2843.06276369207

Run 4
-------
Iteration 1: SSE = 7110.538221234078
Iteration 2: SSE = 3766.294380850068
Iteration 3: SSE = 3329.288743795341
Iteration 4: SSE = 3088.952206924131
Iteration 5: SSE = 2962.8686707322927
Iteration 6: SSE = 2906.686255747152
Iteration 7: SSE = 2879.3236987126243
Iteration 8: SSE = 2861.2610377618566
Iteration 9: SSE = 2849.2612852399384
Iteration 10: SSE = 2838.685592442267
Iteration 11: SSE = 2829.719231534964
Iteration 12: SSE = 2822.780672994407
Iteration 13: SSE = 2818.036888146426
Iteration 14: SSE = 2815.561220432855

Run 5
-------
Iteration 1: SSE = 7265.777918354608
Iteration 2: SSE = 3634.0637814352986
Iteration 3: SSE = 3223.272203348585
Iteration 4: SSE = 3034.285846642911
Iteration 5: SSE = 2953.774719796767
Iteration 6: SSE = 2918.726266303017
Iteration 7: SSE = 2890.1375281032747
Iteration 8: SSE = 2866.1007934149948
Iteration 9: SSE = 2847.8662016258545
Iteration 10: SSE = 2836.2790384744776
Iteration 11: SSE = 2827.9446440288216
Iteration 12: SSE = 2819.5397289801517
Iteration 13: SSE = 2811.635732067984
Iteration 14: SSE = 2804.617706317558
Iteration 15: SSE = 2798.2644291854212
Iteration 16: SSE = 2790.2536639738123
Iteration 17: SSE = 2782.2303388434175
Iteration 18: SSE = 2777.2736731806
Iteration 19: SSE = 2773.7724861404063
Iteration 20: SSE = 2771.7084639748987

Run 6
-------
Iteration 1: SSE = 7215.576170327394
Iteration 2: SSE = 3715.009155044393
Iteration 3: SSE = 3358.4827116869533
Iteration 4: SSE = 3234.679588707273
Iteration 5: SSE = 3162.0089814601824
Iteration 6: SSE = 3106.1318186332346
Iteration 7: SSE = 3061.5335923665903
Iteration 8: SSE = 3032.0436486076337
Iteration 9: SSE = 3009.3370323035138
Iteration 10: SSE = 2993.560463137649
Iteration 11: SSE = 2980.3787034566344
Iteration 12: SSE = 2966.707395797349
Iteration 13: SSE = 2952.506186945834
Iteration 14: SSE = 2939.84052262317
Iteration 15: SSE = 2928.707950386804
Iteration 16: SSE = 2919.900922901399
Iteration 17: SSE = 2912.7034998930453
Iteration 18: SSE = 2907.161310719471
Iteration 19: SSE = 2902.829513312572
Iteration 20: SSE = 2897.3555479696565
Iteration 21: SSE = 2892.0035757357327
Iteration 22: SSE = 2887.2855590161744
Iteration 23: SSE = 2881.829056404601
Iteration 24: SSE = 2875.2235585267063
Iteration 25: SSE = 2869.9492078356548
Iteration 26: SSE = 2866.6182637229404
Iteration 27: SSE = 2864.6706994648316

Run 7
-------
Iteration 1: SSE = 7294.517103993929
Iteration 2: SSE = 3683.581170569226
