yeast.txt  10.0 100.0 0.001 100.0

Run 1
-------
Iteration 1: SSE = 173.0355105767762
Iteration 2: SSE = 135.97674955006687
Iteration 3: SSE = 131.01783682081654
Iteration 4: SSE = 124.42792565827413
Iteration 5: SSE = 118.80276482005617
Iteration 6: SSE = 116.70911640247745
Iteration 7: SSE = 115.05258782837154
Iteration 8: SSE = 111.47108456266957
Iteration 9: SSE = 105.33976398034812
Iteration 10: SSE = 102.091130238517
Iteration 11: SSE = 100.5623876274873
Iteration 12: SSE = 99.45064511965332
Iteration 13: SSE = 98.67479222479889
Iteration 14: SSE = 97.65069858196321
Iteration 15: SSE = 97.09759694051158
Iteration 16: SSE = 96.71875507773149
Iteration 17: SSE = 96.44226958847645
Iteration 18: SSE = 96.14470563519752
Iteration 19: SSE = 95.80648840252513
Iteration 20: SSE = 95.2029506024516
Iteration 21: SSE = 94.29505612435665
Iteration 22: SSE = 93.73382156403224
Iteration 23: SSE = 93.32665447483828
Iteration 24: SSE = 92.66208546864644
Iteration 25: SSE = 92.40954955148119
Iteration 26: SSE = 92.29246610538108
Iteration 27: SSE = 92.1298293023553
Iteration 28: SSE = 91.96144806741496
Iteration 29: SSE = 91.77742325218166
Iteration 30: SSE = 91.41543478074198
Iteration 31: SSE = 90.66051276370179
Iteration 32: SSE = 90.06815765055818
Iteration 33: SSE = 89.7233739642853
Iteration 34: SSE = 89.47867331919826
Iteration 35: SSE = 89.32091061771254
Iteration 36: SSE = 89.15446829530546
Iteration 37: SSE = 88.97378875585312
Iteration 38: SSE = 88.56211271323971
Iteration 39: SSE = 88.13456224570515
Iteration 40: SSE = 87.50141809055229
Iteration 41: SSE = 86.99267948051525
Iteration 42: SSE = 86.28413704902489
Iteration 43: SSE = 85.94349869247715
Iteration 44: SSE = 85.71579682622682
Iteration 45: SSE = 85.42566198516363
Iteration 46: SSE = 85.140544791506
Iteration 47: SSE = 84.90799801165366
Iteration 48: SSE = 84.75587981985959
Iteration 49: SSE = 84.67892843623815

Run 2
-------
Iteration 1: SSE = 145.62068156759244
Iteration 2: SSE = 127.95342156913031
Iteration 3: SSE = 122.83333306019101
Iteration 4: SSE = 120.07454207467006
Iteration 5: SSE = 117.34547502774406
Iteration 6: SSE = 116.1668123528577
Iteration 7: SSE = 114.82037926333399
Iteration 8: SSE = 111.17478396222292
Iteration 9: SSE = 105.05830466935943
Iteration 10: SSE = 102.06448192759898
Iteration 11: SSE = 100.86001286083263
Iteration 12: SSE = 99.76912569281814
Iteration 13: SSE = 99.08536682563435
Iteration 14: SSE = 98.00446066258561
Iteration 15: SSE = 97.40397911063832
Iteration 16: SSE = 96.96842446157254
Iteration 17: SSE = 96.69676595734535
Iteration 18: SSE = 96.41709423002084
Iteration 19: SSE = 96.12145105079354
Iteration 20: SSE = 95.77942355884161
Iteration 21: SSE = 95.17962654932674
Iteration 22: SSE = 94.29539321148246
Iteration 23: SSE = 93.73644331457318
Iteration 24: SSE = 93.33125280701623
Iteration 25: SSE = 92.63544958092011
Iteration 26: SSE = 92.4004716249845
Iteration 27: SSE = 92.28354314489972
Iteration 28: SSE = 92.10995321385401
Iteration 29: SSE = 91.95106224303765
Iteration 30: SSE = 91.76166803550885
Iteration 31: SSE = 91.28046847390195
Iteration 32: SSE = 90.49411464896566
Iteration 33: SSE = 89.9929003927164
Iteration 34: SSE = 89.64402462544602
Iteration 35: SSE = 89.43194110379238
Iteration 36: SSE = 89.25551548080671
Iteration 37: SSE = 89.074555862186
Iteration 38: SSE = 88.87082138363226
Iteration 39: SSE = 88.3473509057073
Iteration 40: SSE = 87.68782759174609
Iteration 41: SSE = 87.19483942977187
Iteration 42: SSE = 86.92404373983443
Iteration 43: SSE = 86.27709863071439
Iteration 44: SSE = 85.97740010411721
Iteration 45: SSE = 85.74817974727276
Iteration 46: SSE = 85.44977123897708
Iteration 47: SSE = 85.09262943611564
Iteration 48: SSE = 84.8784320550876
Iteration 49: SSE = 84.75349685285315
Iteration 50: SSE = 84.66662759292365
Iteration 51: SSE = 84.63742379035011

Run 3
-------
Iteration 1: SSE = 162.3694327530909
Iteration 2: SSE = 124.90675933282944
Iteration 3: SSE = 121.04902443343529
Iteration 4: SSE = 118.8392693572677
Iteration 5: SSE = 116.42573217354521
Iteration 6: SSE = 115.29594148630909
Iteration 7: SSE = 113.77509202719041
Iteration 8: SSE = 109.46146180064659
Iteration 9: SSE = 103.96568954883011
Iteration 10: SSE = 101.78848348598832
Iteration 11: SSE = 100.79941586438939
Iteration 12: SSE = 99.77237293626128
Iteration 13: SSE = 99.08837311828667
Iteration 14: SSE = 98.03415637299119
Iteration 15: SSE = 97.38078549316184
Iteration 16: SSE = 96.92765124218816
Iteration 17: SSE = 96.64183073679754
Iteration 18: SSE = 96.39830991526067
Iteration 19: SSE = 96.10097149825968
Iteration 20: SSE = 95.76180833391602
Iteration 21: SSE = 95.17009701884099
Iteration 22: SSE = 94.33233932043662
Iteration 23: SSE = 93.7526867036279
Iteration 24: SSE = 93.3439567084474
