letter_recognition.txt  26.0 100.0 0.001 100.0

Run 1
-------
Iteration 1: SSE = 2.3249120161306818E-4
Iteration 2: SSE = 1.3671517690542752E-4
Iteration 3: SSE = 1.2426148688794033E-4
Iteration 4: SSE = 1.162407515768908E-4
Iteration 5: SSE = 1.1351462278749228E-4
Iteration 6: SSE = 1.1149301941307458E-4
Iteration 7: SSE = 1.0851042289230236E-4
Iteration 8: SSE = 1.0540054541037482E-4
Iteration 9: SSE = 1.0232562784019785E-4
Iteration 10: SSE = 9.868564336911908E-5
Iteration 11: SSE = 9.452987374707449E-5
Iteration 12: SSE = 9.075570692729599E-5
Iteration 13: SSE = 8.759259340751694E-5
Iteration 14: SSE = 8.530626838905229E-5
Iteration 15: SSE = 8.376791374054728E-5
Iteration 16: SSE = 8.214583937764567E-5
Iteration 17: SSE = 8.014654952371691E-5
Iteration 18: SSE = 7.851812706438349E-5
Iteration 19: SSE = 7.715928934993524E-5
Iteration 20: SSE = 7.599240536435653E-5
Iteration 21: SSE = 7.463610001929253E-5
Iteration 22: SSE = 7.326519017080193E-5
Iteration 23: SSE = 7.19469726263767E-5
Iteration 24: SSE = 7.075044019263397E-5
Iteration 25: SSE = 6.972593037294404E-5
Iteration 26: SSE = 6.880158346728055E-5
Iteration 27: SSE = 6.824065654478573E-5
Iteration 28: SSE = 6.794102088472003E-5
Iteration 29: SSE = 6.773009723223561E-5
Iteration 30: SSE = 6.757628958437836E-5
Iteration 31: SSE = 6.742936207204161E-5
Iteration 32: SSE = 6.727150279885279E-5
Iteration 33: SSE = 6.709703906695137E-5
Iteration 34: SSE = 6.691141109493298E-5
Iteration 35: SSE = 6.674962562283883E-5
Iteration 36: SSE = 6.662842237865328E-5
Iteration 37: SSE = 6.65335602328861E-5
Iteration 38: SSE = 6.645285162750534E-5
Iteration 39: SSE = 6.638077726133559E-5
Iteration 40: SSE = 6.629791847210025E-5
Iteration 41: SSE = 6.621585235085246E-5
Iteration 42: SSE = 6.613691360870356E-5
Iteration 43: SSE = 6.606519313523031E-5
Iteration 44: SSE = 6.600016245411058E-5

Run 2
-------
Iteration 1: SSE = 2.357617791545134E-4
Iteration 2: SSE = 1.3715309681160926E-4
Iteration 3: SSE = 1.250384272996944E-4
Iteration 4: SSE = 1.1641704376531442E-4
Iteration 5: SSE = 1.1343044102469665E-4
Iteration 6: SSE = 1.1069516100239105E-4
Iteration 7: SSE = 1.0763191266581009E-4
Iteration 8: SSE = 1.0521309426031689E-4
Iteration 9: SSE = 1.0245134720496569E-4
Iteration 10: SSE = 9.920190040665681E-5
Iteration 11: SSE = 9.461174828302303E-5
Iteration 12: SSE = 9.112523699887732E-5
Iteration 13: SSE = 8.889043626565316E-5
Iteration 14: SSE = 8.692609721483316E-5
Iteration 15: SSE = 8.504669171034823E-5
Iteration 16: SSE = 8.274408897419576E-5
Iteration 17: SSE = 8.037988625943404E-5
Iteration 18: SSE = 7.847305367596116E-5
Iteration 19: SSE = 7.657575263182893E-5
Iteration 20: SSE = 7.44171236662115E-5
Iteration 21: SSE = 7.343065197974833E-5
Iteration 22: SSE = 7.270500512433049E-5
Iteration 23: SSE = 7.197226381930434E-5
Iteration 24: SSE = 7.117059482974136E-5
Iteration 25: SSE = 7.013714219349904E-5
Iteration 26: SSE = 6.916292886912749E-5
Iteration 27: SSE = 6.850082501742822E-5
Iteration 28: SSE = 6.802407609044278E-5
Iteration 29: SSE = 6.765991255647537E-5
Iteration 30: SSE = 6.7338920523845E-5
Iteration 31: SSE = 6.709395414023212E-5
Iteration 32: SSE = 6.691429282463217E-5
Iteration 33: SSE = 6.679406665724708E-5
Iteration 34: SSE = 6.671608083744194E-5
Iteration 35: SSE = 6.665525003901115E-5

Run 3
-------
Iteration 1: SSE = 2.3981597721803E-4
Iteration 2: SSE = 1.4008102991637473E-4
Iteration 3: SSE = 1.3283353487361047E-4
Iteration 4: SSE = 1.2349064516375735E-4
Iteration 5: SSE = 1.1437715476759238E-4
Iteration 6: SSE = 1.1001314802172538E-4
Iteration 7: SSE = 1.0558875313542424E-4
Iteration 8: SSE = 1.0193904881871074E-4
Iteration 9: SSE = 9.962878579439829E-5
Iteration 10: SSE = 9.736970350270551E-5
Iteration 11: SSE = 9.502669917897284E-5
Iteration 12: SSE = 9.23686131849753E-5
Iteration 13: SSE = 9.009488574259316E-5
Iteration 14: SSE = 8.818008704044814E-5
Iteration 15: SSE = 8.589211455636447E-5
Iteration 16: SSE = 8.37743468053499E-5
Iteration 17: SSE = 8.134332740354824E-5
Iteration 18: SSE = 7.883305879918829E-5
Iteration 19: SSE = 7.682348169290353E-5
Iteration 20: SSE = 7.520123131262499E-5
Iteration 21: SSE = 7.37911796004566E-5
Iteration 22: SSE = 7.270713007220808E-5
Iteration 23: SSE = 7.184995302340985E-5
Iteration 24: SSE = 7.09597506518248E-5
Iteration 25: SSE = 7.011558766070471E-5
Iteration 26: SSE = 6.938572911798661E-5
Iteration 27: SSE = 6.887427790134196E-5
Iteration 28: SSE = 6.856612832979497E-5
